"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested","RateTested100k"
"1",1,"Andover","2020-05-20",10,0,310,62,1919
"2",2,"Ansonia","2020-05-20",248,5,1325,936,5000
"3",3,"Ashford","2020-05-20",14,0,329,93,2183
"4",4,"Avon","2020-05-20",106,16,579,450,2459
"5",5,"Barkhamsted","2020-05-20",24,0,662,89,2456
"6",6,"Beacon Falls","2020-05-20",45,0,728,215,3478
"7",7,"Berlin","2020-05-20",136,16,666,600,2937
"8",8,"Bethany","2020-05-20",30,0,548,210,3833
"9",9,"Bethel","2020-05-20",240,23,1217,1075,5453
"10",10,"Bethlehem","2020-05-20",10,1,292,88,2572
"11",11,"Bloomfield","2020-05-20",436,75,2047,1045,4906
"12",12,"Bolton","2020-05-20",19,3,389,94,1922
"13",13,"Bozrah","2020-05-20",8,0,315,79,3114
"14",14,"Branford","2020-05-20",312,38,1114,1465,5231
"15",15,"Bridgeport","2020-05-20",3057,137,2110,8669,5983
"16",16,"Bridgewater","2020-05-20",6,0,366,61,3717
"17",17,"Bristol","2020-05-20",514,64,856,2166,3608
"18",18,"Brookfield","2020-05-20",149,7,876,821,4829
"19",19,"Brooklyn","2020-05-20",18,0,217,215,2597
"20",20,"Burlington","2020-05-20",21,1,217,205,2121
"21",21,"Canaan","2020-05-20",0,0,0,19,1801
"22",22,"Canterbury","2020-05-20",11,0,216,130,2549
"23",23,"Canton","2020-05-20",78,24,759,241,2347
"24",24,"Chaplin","2020-05-20",3,0,133,56,2482
"25",25,"Cheshire","2020-05-20",169,22,579,917,3143
"26",26,"Chester","2020-05-20",45,12,1064,128,3027
"27",27,"Clinton","2020-05-20",49,2,378,402,3104
"28",28,"Colchester","2020-05-20",32,1,201,521,3269
"29",29,"Colebrook","2020-05-20",2,0,142,23,1637
"30",30,"Columbia","2020-05-20",18,0,334,119,2210
"31",31,"Cornwall","2020-05-20",4,0,292,51,3728
"32",32,"Coventry","2020-05-20",35,1,282,253,2038
"33",33,"Cromwell","2020-05-20",98,20,705,428,3078
"34",34,"Danbury","2020-05-20",1639,105,1934,4814,5682
"35",35,"Darien","2020-05-20",198,6,910,985,4528
"36",36,"Deep River","2020-05-20",8,0,179,111,2487
"37",37,"Derby","2020-05-20",136,2,1087,647,5170
"38",38,"Durham","2020-05-20",29,2,403,216,3002
"39",40,"East Granby","2020-05-20",8,0,155,82,1593
"40",41,"East Haddam","2020-05-20",12,1,134,175,1947
"41",42,"East Hampton","2020-05-20",40,3,311,315,2451
"42",43,"East Hartford","2020-05-20",706,81,1412,1946,3892
"43",44,"East Haven","2020-05-20",373,33,1300,1677,5843
"44",45,"East Lyme","2020-05-20",125,21,670,800,4291
"45",47,"East Windsor","2020-05-20",140,24,1231,425,3736
"46",39,"Eastford","2020-05-20",8,0,447,36,2011
"47",46,"Easton","2020-05-20",31,2,412,237,3153
"48",48,"Ellington","2020-05-20",52,4,319,333,2043
"49",49,"Enfield","2020-05-20",403,23,906,1329,2989
"50",50,"Essex","2020-05-20",20,1,300,173,2592
"51",51,"Fairfield","2020-05-20",543,102,876,2007,3240
"52",52,"Farmington","2020-05-20",188,32,737,702,2752
"53",53,"Franklin","2020-05-20",3,0,155,50,2587
"54",54,"Glastonbury","2020-05-20",252,69,731,1002,2905
"55",55,"Goshen","2020-05-20",8,0,278,87,3022
"56",56,"Granby","2020-05-20",20,1,176,205,1802
"57",57,"Greenwich","2020-05-20",764,45,1218,2591,4131
"58",58,"Griswold","2020-05-20",20,2,173,367,3166
"59",59,"Groton","2020-05-20",105,19,271,1467,3791
"60",60,"Guilford","2020-05-20",93,10,419,687,3092
"61",61,"Haddam","2020-05-20",26,1,316,187,2274
"62",62,"Hamden","2020-05-20",890,97,1460,3277,5377
"63",63,"Hampton","2020-05-20",1,0,54,48,2590
"64",64,"Hartford","2020-05-20",2036,141,1661,5023,4097
"65",65,"Hartland","2020-05-20",6,0,283,27,1274
"66",66,"Harwinton","2020-05-20",27,2,497,147,2707
"67",67,"Hebron","2020-05-20",20,2,211,193,2035
"68",68,"Kent","2020-05-20",7,0,251,85,3052
"69",69,"Killingly","2020-05-20",26,0,150,528,3054
"70",70,"Killingworth","2020-05-20",12,3,188,177,2779
"71",71,"Lebanon","2020-05-20",24,1,333,174,2414
"72",72,"Ledyard","2020-05-20",19,1,129,703,4771
"73",73,"Lisbon","2020-05-20",5,0,118,111,2613
"74",74,"Litchfield","2020-05-20",35,3,431,254,3125
"75",75,"Lyme","2020-05-20",3,0,128,49,2096
"76",76,"Madison","2020-05-20",129,20,712,634,3502
"77",77,"Manchester","2020-05-20",572,68,991,2008,3480
"78",78,"Mansfield","2020-05-20",27,2,105,220,852
"79",79,"Marlborough","2020-05-20",51,2,802,181,2847
"80",80,"Meriden","2020-05-20",686,57,1152,2733,4590
"81",81,"Middlebury","2020-05-20",44,3,569,232,3001
"82",82,"Middlefield","2020-05-20",15,0,342,117,2671
"83",83,"Middletown","2020-05-20",507,69,1099,1889,4094
"84",84,"Milford","2020-05-20",590,70,1079,2459,4499
"85",85,"Monroe","2020-05-20",105,6,539,589,3025
"86",86,"Montville","2020-05-20",110,0,588,727,3884
"87",87,"Morris","2020-05-20",15,0,663,59,2608
"88",88,"Naugatuck","2020-05-20",339,25,1083,1300,4155
"89",89,"New Britain","2020-05-20",825,70,1139,2709,3739
"90",90,"New Canaan","2020-05-20",164,29,811,870,4304
"91",91,"New Fairfield","2020-05-20",106,2,764,556,4007
"92",92,"New Hartford","2020-05-20",23,2,344,135,2019
"93",93,"New Haven","2020-05-20",2284,92,1751,8509,6524
"94",95,"New London","2020-05-20",136,3,505,1090,4046
"95",96,"New Milford","2020-05-20",257,20,953,1300,4819
"96",94,"Newington","2020-05-20",327,45,1086,1200,3985
"97",97,"Newtown","2020-05-20",201,21,724,1187,4274
"98",98,"Norfolk","2020-05-20",9,0,549,30,1829
"99",99,"North Branford","2020-05-20",80,4,565,500,3532
"100",100,"North Canaan","2020-05-20",5,1,154,70,2151
"101",101,"North Haven","2020-05-20",217,19,916,1089,4597
"102",102,"North Stonington","2020-05-20",10,1,191,173,3300
"103",103,"Norwalk","2020-05-20",1928,119,2165,5393,6056
"104",104,"Norwich","2020-05-20",83,3,212,1169,2987
"105",105,"Old Lyme","2020-05-20",16,1,217,238,3231
"106",106,"Old Saybrook","2020-05-20",32,0,317,301,2984
"107",107,"Orange","2020-05-20",113,6,810,583,4180
"108",108,"Oxford","2020-05-20",77,6,582,434,3281
"109",109,"Plainfield","2020-05-20",30,1,198,472,3111
"110",110,"Plainville","2020-05-20",133,17,755,630,3575
"111",111,"Plymouth","2020-05-20",64,1,550,349,2997
"112",112,"Pomfret","2020-05-20",13,0,309,113,2688
"113",113,"Portland","2020-05-20",56,15,602,242,2601
"114",114,"Preston","2020-05-20",10,0,216,197,4248
"115",115,"Prospect","2020-05-20",52,0,531,262,2676
"116",116,"Putnam","2020-05-20",24,1,255,299,3183
"117",117,"Redding","2020-05-20",68,8,745,323,3540
"118",118,"Ridgefield","2020-05-20",198,41,792,1278,5110
"119",119,"Rocky Hill","2020-05-20",364,75,1807,950,4716
"120",120,"Roxbury","2020-05-20",6,1,278,66,3056
"121",121,"Salem","2020-05-20",4,0,97,157,3808
"122",122,"Salisbury","2020-05-20",10,0,278,64,1779
"123",123,"Scotland","2020-05-20",0,0,0,15,890
"124",124,"Seymour","2020-05-20",210,37,1272,780,4725
"125",125,"Sharon","2020-05-20",32,1,1184,161,5956
"126",126,"Shelton","2020-05-20",530,126,1290,1748,4253
"127",127,"Sherman","2020-05-20",14,2,387,120,3320
"128",128,"Simsbury","2020-05-20",107,12,428,545,2182
"129",129,"Somers","2020-05-20",280,4,2584,864,7975
"130",132,"South Windsor","2020-05-20",133,28,510,604,2318
"131",130,"Southbury","2020-05-20",158,31,804,1235,6283
"132",131,"Southington","2020-05-20",285,25,651,1346,3073
"133",133,"Sprague","2020-05-20",3,0,104,122,4223
"134",134,"Stafford","2020-05-20",94,17,791,317,2667
"135",135,"Stamford","2020-05-20",3051,180,2351,7559,5825
"136",136,"Sterling","2020-05-20",2,0,53,76,2011
"137",137,"Stonington","2020-05-20",30,2,163,693,3756
"138",138,"Stratford","2020-05-20",737,66,1418,2692,5180
"139",139,"Suffield","2020-05-20",111,18,705,320,2033
"140",140,"Thomaston","2020-05-20",52,0,688,232,3069
"141",141,"Thompson","2020-05-20",29,2,309,200,2129
"142",142,"Tolland","2020-05-20",47,4,321,286,1952
"143",143,"Torrington","2020-05-20",458,76,1338,1431,4181
"144",144,"Trumbull","2020-05-20",495,95,1383,1571,4388
"145",145,"Union","2020-05-20",4,0,476,14,1667
"146",146,"Vernon","2020-05-20",170,18,580,790,2696
"147",147,"Voluntown","2020-05-20",9,1,355,79,3116
"148",148,"Wallingford","2020-05-20",409,55,918,1871,4201
"149",149,"Warren","2020-05-20",4,0,286,14,1001
"150",150,"Washington","2020-05-20",19,2,553,221,6436
"151",151,"Waterbury","2020-05-20",1775,146,1642,4836,4474
"152",152,"Waterford","2020-05-20",148,17,784,952,5041
"153",153,"Watertown","2020-05-20",136,6,628,713,3295
"154",155,"West Hartford","2020-05-20",520,88,826,1942,3086
"155",156,"West Haven","2020-05-20",986,60,1797,3386,6170
"156",154,"Westbrook","2020-05-20",23,1,333,201,2907
"157",157,"Weston","2020-05-20",61,1,595,407,3972
"158",158,"Westport","2020-05-20",273,21,971,1350,4802
"159",159,"Wethersfield","2020-05-20",229,9,878,833,3194
"160",160,"Willington","2020-05-20",11,0,187,97,1648
"161",161,"Wilton","2020-05-20",199,36,1082,739,4017
"162",162,"Winchester","2020-05-20",50,3,469,303,2844
"163",163,"Windham","2020-05-20",144,10,583,597,2416
"164",164,"Windsor","2020-05-20",495,93,1721,1080,3755
"165",165,"Windsor Locks","2020-05-20",97,16,753,357,2773
"166",166,"Wolcott","2020-05-20",93,8,559,451,2709
"167",167,"Woodbridge","2020-05-20",125,28,1420,417,4736
"168",168,"Woodbury","2020-05-20",40,2,419,299,3135
"169",169,"Woodstock","2020-05-20",13,0,165,182,2315
